Sender-KntNr,Empfaenger-KntNr,Verwendungszweck,Betrag,Buchungsdatum
AT21 3259 6395 4314 9840,AT99 3877 4273 7047 3592,Leben,237.44,25.01.2017
AT85 7494 8192 8332 9402,AT27 4281 9942 0389 1927,Warenhandel,193.49,21.09.2018
AT81 1104 3648 6492 1249,AT73 7449 0172 9499 3958,Leben,114.94,10.07.2018
AT65 9915 4585 9244 5764,AT36 6263 5656 5947 3628,Warenhandel,898.04,25.09.2017
AT23 3627 5889 5495 9166,AT95 5079 3033 2191 2643,Neueinrichtung,220.23,08.01.2017
AT67 5686 4643 8701 0396,AT31 5368 4239 0622 2678,Spende,820.13,05.01.2017
AT21 3259 6395 4314 9840,AT46 4038 8451 6269 6532,Neueinrichtung,64.20,17.08.2017
AT80 0414 2633 0638 0714,AT65 9915 4585 9244 5764,Auto,872.12,19.01.2017
AT73 0351 6823 5615 7175,AT78 6280 7841 3225 0685,Leben,711.76,17.02.2017
AT27 4281 9942 0389 1927,AT37 4165 0290 7991 9354,Schulden,327.22,21.09.2018
AT25 2252 4773 6239 8605,AT73 7449 0172 9499 3958,Leben,660.33,18.03.2018
AT11 8048 7611 7051 3113,AT36 6263 5656 5947 3628,Leben,506.81,24.08.2018
AT85 9841 6026 7949 4737,AT09 1239 5645 2894 7413,Auto,804.01,05.03.2018
AT87 6023 4362 1392 0577,AT81 8069 2275 3090 5366,,615.45,17.10.2018
AT25 2252 4773 6239 8605,AT27 4281 9942 0389 1927,Schulden,56.73,03.04.2017
AT32 3293 7887 1273 6568,AT85 7494 8192 8332 9402,Auto,895.23,13.09.2018
AT73 0351 6823 5615 7175,AT96 2315 8547 9857 4362,Auto,735.93,14.07.2017
AT36 6263 5656 5947 3628,AT89 1722 5241 3201 1443,Auto,276.03,26.09.2017
AT77 5714 5121 8373 3333,AT52 4761 1464 4792 5682,Spende,250.04,06.02.2017
AT78 4116 4634 9458 1407,AT73 0351 6823 5615 7175,Schulden,384.31,19.09.2018
AT73 0351 6823 5615 7175,AT50 5914 7535 5076 3985,Schulden,727.28,21.05.2018
AT11 9371 9162 5540 3652,AT78 6280 7841 3225 0685,Warenhandel,970.20,19.02.2018
AT00 3837 1294 3259 1959,AT49 7869 6462 7722 2559,Aktien,619.93,26.10.2018
AT57 0089 3636 6067 8915,AT21 3259 6395 4314 9840,Auto,556.44,05.10.2017
AT81 8069 2275 3090 5366,AT83 2055 0343 5031 5242,Auto,397.46,19.06.2017
AT87 4186 5190 8996 4168,AT73 0351 6823 5615 7175,,616.96,23.12.2018
AT95 5079 3033 2191 2643,AT34 2568 3484 0062 8014,Neueinrichtung,850.28,01.11.2018
AT61 7283 8477 5641 3823,AT76 6888 8605 9695 7795,Leben,63.72,06.10.2018
AT11 9371 9162 5540 3652,AT37 2200 1453 3654 4508,Schulden,351.26,05.03.2017
AT57 0089 3636 6067 8915,AT81 1104 3648 6492 1249,Warenhandel,403.90,12.07.2018
AT27 4281 9942 0389 1927,AT82 8137 7112 6694 2806,Leben,624.36,13.03.2017
AT85 7494 8192 8332 9402,AT99 3877 4273 7047 3592,Leben,748.42,11.03.2017
AT87 4186 5190 8996 4168,AT71 8337 5842 2084 3742,Aktien,799.34,12.02.2018
AT78 6280 7841 3225 0685,AT76 6888 8605 9695 7795,Spende,547.68,19.04.2017
AT34 1779 1973 2337 2860,AT82 8137 7112 6694 2806,Schulden,163.76,22.04.2018
AT81 8069 2275 3090 5366,AT99 3877 4273 7047 3592,Auto,780.01,20.05.2018
AT78 4116 4634 9458 1407,AT76 6888 8605 9695 7795,Aktien,431.04,01.06.2018
AT83 4593 9652 1831 9309,AT30 9896 8538 8240 1931,Warenhandel,727.88,04.11.2017
AT82 8137 7112 6694 2806,AT99 3877 4273 7047 3592,Neueinrichtung,851.27,09.06.2017
AT71 8337 5842 2084 3742,AT94 6088 9228 6351 2124,Leben,747.69,11.03.2017
AT94 6088 9228 6351 2124,AT49 7869 6462 7722 2559,Neueinrichtung,605.41,03.07.2018
AT58 0042 4020 9493 7961,AT85 7494 8192 8332 9402,Spende,596.31,27.10.2017
AT85 9841 6026 7949 4737,AT71 7270 8831 6056 9024,Leben,599.58,12.09.2018
AT77 5714 5121 8373 3333,AT11 8048 7611 7051 3113,Neueinrichtung,507.40,25.05.2017
AT60 2383 6562 9293 9096,AT37 2200 1453 3654 4508,Schulden,338.60,03.05.2017
AT80 0414 2633 0638 0714,AT99 3877 4273 7047 3592,Leben,520.38,13.07.2018
AT71 8337 5842 2084 3742,AT82 8137 7112 6694 2806,Leben,222.47,11.04.2018
AT73 4879 0209 4159 7619,AT73 0351 6823 5615 7175,Schulden,133.96,03.11.2018
AT34 9862 5121 9751 5569,AT11 9371 9162 5540 3652,,195.15,26.06.2018
AT96 2315 8547 9857 4362,AT83 4593 9652 1831 9309,Warenhandel,349.09,19.07.2017
AT37 2200 1453 3654 4508,AT94 6088 9228 6351 2124,,971.49,27.01.2018
AT65 9915 4585 9244 5764,AT71 7270 8831 6056 9024,,356.06,08.08.2017
AT34 2568 3484 0062 8014,AT30 9896 8538 8240 1931,Leben,106.06,19.09.2018
AT55 8940 9044 2599 2567,AT76 6888 8605 9695 7795,,780.49,23.09.2018
AT77 0689 8601 7267 2419,AT55 8940 9044 2599 2567,Auto,439.79,19.04.2017
AT83 4593 9652 1831 9309,AT77 5714 5121 8373 3333,Warenhandel,748.61,22.02.2018
AT52 4761 1464 4792 5682,AT34 9862 5121 9751 5569,,112.97,28.04.2017
AT94 6088 9228 6351 2124,AT48 4644 0976 8993 2171,Spende,532.53,06.03.2017
AT08 8242 4149 1806 1191,AT21 3259 6395 4314 9840,Leben,660.25,23.02.2017
AT05 1748 1837 7869 6873,AT99 3877 4273 7047 3592,Aktien,620.94,02.04.2018
AT82 8137 7112 6694 2806,AT50 5914 7535 5076 3985,,397.14,15.11.2017
AT73 7449 0172 9499 3958,AT34 9862 5121 9751 5569,Schulden,696.42,20.04.2018
AT94 6088 9228 6351 2124,AT81 8069 2275 3090 5366,Aktien,30.16,12.03.2018
AT73 4879 0209 4159 7619,AT83 4593 9652 1831 9309,Neueinrichtung,666.76,16.02.2018
AT85 7494 8192 8332 9402,AT11 8048 7611 7051 3113,Leben,874.74,11.07.2018
AT30 9896 8538 8240 1931,AT57 0089 3636 6067 8915,Warenhandel,289.45,11.05.2018
AT58 0042 4020 9493 7961,AT87 6023 4362 1392 0577,Aktien,58.19,05.05.2017
AT81 8069 2275 3090 5366,AT52 4761 1464 4792 5682,Aktien,888.14,26.07.2018
AT67 5686 4643 8701 0396,AT65 9915 4585 9244 5764,Leben,998.21,16.05.2018
AT81 8069 2275 3090 5366,AT11 9371 9162 5540 3652,Warenhandel,424.41,27.01.2018
AT38 1771 0448 8518 9824,AT50 5914 7535 5076 3985,,439.18,06.05.2018
AT57 0089 3636 6067 8915,AT96 2315 8547 9857 4362,Spende,835.23,09.11.2018
AT78 4116 4634 9458 1407,AT73 0351 6823 5615 7175,Neueinrichtung,830.29,11.05.2017
AT09 1239 5645 2894 7413,AT30 9896 8538 8240 1931,Leben,507.74,02.09.2018
AT45 2213 9912 6657 0320,AT34 2568 3484 0062 8014,Spende,848.85,06.03.2017
AT87 4186 5190 8996 4168,AT21 3259 6395 4314 9840,Leben,693.33,20.02.2018
AT71 7270 8831 6056 9024,AT81 8069 2275 3090 5366,,203.15,22.12.2018
AT48 4644 0976 8993 2171,AT81 8069 2275 3090 5366,Warenhandel,566.19,26.05.2018
AT33 9460 1594 8170 4365,AT77 5714 5121 8373 3333,Aktien,533.31,17.05.2017
AT82 8137 7112 6694 2806,AT11 9371 9162 5540 3652,Aktien,764.61,12.01.2017
AT37 2200 1453 3654 4508,AT34 1779 1973 2337 2860,Auto,846.33,16.01.2018
AT30 9896 8538 8240 1931,AT95 5079 3033 2191 2643,Aktien,201.60,05.06.2018
AT48 4644 0976 8993 2171,AT23 3627 5889 5495 9166,Aktien,145.49,22.09.2017
AT60 2383 6562 9293 9096,AT73 2816 5898 3126 3532,Neueinrichtung,100.85,07.06.2018
AT49 7869 6462 7722 2559,AT27 4281 9942 0389 1927,Neueinrichtung,892.82,07.12.2018
AT48 4644 0976 8993 2171,AT73 0351 6823 5615 7175,Aktien,451.57,04.03.2017
AT80 0414 2633 0638 0714,AT89 1722 5241 3201 1443,Spende,713.91,16.06.2018
AT37 2200 1453 3654 4508,AT31 5368 4239 0622 2678,,234.49,04.10.2018
AT71 7270 8831 6056 9024,AT73 0351 6823 5615 7175,Auto,32.20,27.06.2018
AT34 9862 5121 9751 5569,AT34 1779 1973 2337 2860,Leben,53.08,16.01.2017
AT65 9915 4585 9244 5764,AT37 2200 1453 3654 4508,Auto,761.62,04.02.2018
AT73 0351 6823 5615 7175,AT50 5914 7535 5076 3985,,917.06,24.10.2017
AT00 3837 1294 3259 1959,AT87 6023 4362 1392 0577,Leben,953.15,15.07.2018
AT47 9309 4409 4792 4785,AT94 6088 9228 6351 2124,Warenhandel,4.77,12.05.2017
AT21 3259 6395 4314 9840,AT94 6088 9228 6351 2124,Spende,918.35,23.04.2017
AT52 4761 1464 4792 5682,AT81 8069 2275 3090 5366,Auto,701.69,12.12.2018
AT50 5914 7535 5076 3985,AT78 4116 4634 9458 1407,Auto,549.15,15.04.2017
AT95 5079 3033 2191 2643,AT65 9915 4585 9244 5764,Warenhandel,911.13,16.03.2017
AT82 8137 7112 6694 2806,AT73 0351 6823 5615 7175,Aktien,672.13,22.07.2017
AT38 1771 0448 8518 9824,AT57 0089 3636 6067 8915,Warenhandel,541.83,02.01.2018
AT73 2816 5898 3126 3532,AT65 9915 4585 9244 5764,Auto,462.48,05.03.2018
AT10 0760 7731 4855 1789,AT21 3259 6395 4314 9840,Leben,37.10,05.07.2018
AT58 0042 4020 9493 7961,AT23 3627 5889 5495 9166,Spende,71.86,18.10.2018
AT08 8242 4149 1806 1191,AT83 4593 9652 1831 9309,Auto,304.21,18.07.2017
AT73 0351 6823 5615 7175,AT65 9915 4585 9244 5764,Neueinrichtung,475.12,18.12.2018
AT09 1239 5645 2894 7413,AT73 2816 5898 3126 3532,Warenhandel,895.21,14.01.2018
AT85 9841 6026 7949 4737,AT85 7494 8192 8332 9402,Schulden,938.15,27.07.2017
AT73 2816 5898 3126 3532,AT76 6888 8605 9695 7795,Schulden,600.89,15.04.2017
AT82 8137 7112 6694 2806,AT78 4116 4634 9458 1407,Spende,962.85,16.07.2018
AT65 9915 4585 9244 5764,AT78 6280 7841 3225 0685,,991.26,27.11.2018
AT57 6282 2830 8723 9867,AT78 6280 7841 3225 0685,Spende,164.41,17.02.2017
AT73 0351 6823 5615 7175,AT11 8048 7611 7051 3113,Warenhandel,675.54,05.01.2018
AT33 9460 1594 8170 4365,AT27 4281 9942 0389 1927,Spende,93.15,23.01.2017
AT46 4038 8451 6269 6532,AT85 7494 8192 8332 9402,Leben,142.93,12.06.2018
AT25 2252 4773 6239 8605,AT34 1779 1973 2337 2860,Aktien,451.45,04.07.2017
AT34 1779 1973 2337 2860,AT48 4644 0976 8993 2171,Neueinrichtung,192.90,21.07.2017
AT57 0089 3636 6067 8915,AT55 8940 9044 2599 2567,Spende,477.04,22.01.2018
AT60 2383 6562 9293 9096,AT25 2252 4773 6239 8605,Leben,948.20,05.04.2017
AT61 7283 8477 5641 3823,AT34 9862 5121 9751 5569,Auto,407.10,28.07.2018
AT77 0689 8601 7267 2419,AT73 7449 0172 9499 3958,Schulden,751.01,06.03.2017
AT99 3877 4273 7047 3592,AT57 0089 3636 6067 8915,Warenhandel,683.45,13.06.2018
AT80 3954 6633 3875 0597,AT48 4644 0976 8993 2171,Spende,269.17,18.07.2017
AT57 6282 2830 8723 9867,AT31 5368 4239 0622 2678,,254.60,12.04.2017
AT71 8337 5842 2084 3742,AT27 4281 9942 0389 1927,,425.83,08.05.2018
AT55 8940 9044 2599 2567,AT48 4644 0976 8993 2171,Neueinrichtung,126.59,07.08.2018
AT49 7869 6462 7722 2559,AT81 8069 2275 3090 5366,Schulden,257.49,13.04.2018
AT05 1748 1837 7869 6873,AT23 3627 5889 5495 9166,Spende,867.11,19.04.2018
AT73 7449 0172 9499 3958,AT78 6280 7841 3225 0685,Leben,284.13,19.01.2018
AT85 7494 8192 8332 9402,AT27 4281 9942 0389 1927,Schulden,696.31,17.02.2017
AT67 5686 4643 8701 0396,AT71 7270 8831 6056 9024,Spende,107.68,11.06.2017
AT31 5368 4239 0622 2678,AT47 9309 4409 4792 4785,Auto,523.85,27.08.2018
AT21 3259 6395 4314 9840,AT73 7449 0172 9499 3958,Aktien,266.98,08.03.2017
AT09 1239 5645 2894 7413,AT31 5368 4239 0622 2678,Warenhandel,545.21,27.10.2017
AT85 9841 6026 7949 4737,AT85 7494 8192 8332 9402,Aktien,677.86,05.02.2017
AT99 3877 4273 7047 3592,AT73 2816 5898 3126 3532,Auto,485.17,14.02.2018
AT57 6282 2830 8723 9867,AT56 8206 6127 2233 7903,Spende,205.13,04.05.2017
AT46 4038 8451 6269 6532,AT09 1239 5645 2894 7413,,711.90,28.08.2017
AT36 6263 5656 5947 3628,AT73 2816 5898 3126 3532,Spende,853.34,21.06.2017
AT23 3627 5889 5495 9166,AT52 4761 1464 4792 5682,Aktien,229.68,09.01.2018
AT67 5686 4643 8701 0396,AT73 0351 6823 5615 7175,Neueinrichtung,898.59,21.04.2017
AT36 6263 5656 5947 3628,AT47 9309 4409 4792 4785,Schulden,151.87,25.07.2018
AT99 3877 4273 7047 3592,AT48 4644 0976 8993 2171,Auto,592.40,18.08.2017
AT05 1748 1837 7869 6873,AT78 6280 7841 3225 0685,Leben,443.48,11.09.2017
AT47 9309 4409 4792 4785,AT83 4593 9652 1831 9309,Warenhandel,505.18,19.02.2018
AT11 8048 7611 7051 3113,AT73 0351 6823 5615 7175,,998.28,02.03.2018
AT80 3954 6633 3875 0597,AT95 5079 3033 2191 2643,Neueinrichtung,461.04,11.03.2017
AT81 8069 2275 3090 5366,AT87 6023 4362 1392 0577,Spende,232.24,17.03.2017
AT46 4038 8451 6269 6532,AT80 0414 2633 0638 0714,Aktien,228.95,09.01.2017
AT57 6282 2830 8723 9867,AT36 6263 5656 5947 3628,Spende,671.29,03.01.2017
AT09 1239 5645 2894 7413,AT52 4761 1464 4792 5682,Neueinrichtung,992.82,13.01.2018
AT34 1779 1973 2337 2860,AT25 2252 4773 6239 8605,,862.92,15.06.2017
AT09 1239 5645 2894 7413,AT11 8048 7611 7051 3113,Neueinrichtung,411.04,02.10.2017
AT46 4038 8451 6269 6532,AT73 2816 5898 3126 3532,Leben,24.14,09.11.2017
AT89 1722 5241 3201 1443,AT65 9915 4585 9244 5764,Leben,983.42,05.04.2017
AT73 2816 5898 3126 3532,AT78 4116 4634 9458 1407,Neueinrichtung,617.95,10.11.2017
AT48 4644 0976 8993 2171,AT83 4593 9652 1831 9309,Warenhandel,980.23,19.05.2017
AT56 8206 6127 2233 7903,AT31 5368 4239 0622 2678,Leben,925.46,03.06.2018
AT08 8242 4149 1806 1191,AT47 9309 4409 4792 4785,Warenhandel,139.43,28.03.2018
AT73 4879 0209 4159 7619,AT31 5368 4239 0622 2678,Auto,872.10,16.03.2018
AT71 8337 5842 2084 3742,AT47 9309 4409 4792 4785,Warenhandel,973.63,02.11.2017
AT10 0760 7731 4855 1789,AT50 5914 7535 5076 3985,,702.86,12.02.2017
AT78 6280 7841 3225 0685,AT71 8337 5842 2084 3742,Warenhandel,538.01,13.09.2018
AT25 2252 4773 6239 8605,AT48 4644 0976 8993 2171,,862.14,06.11.2017
AT89 1722 5241 3201 1443,AT78 4116 4634 9458 1407,Neueinrichtung,274.08,25.10.2018
AT11 9371 9162 5540 3652,AT50 5914 7535 5076 3985,Neueinrichtung,293.07,20.09.2018
AT87 4186 5190 8996 4168,AT82 8137 7112 6694 2806,Aktien,698.53,16.09.2017
AT38 1771 0448 8518 9824,AT37 4165 0290 7991 9354,Warenhandel,438.82,18.12.2018
AT34 1779 1973 2337 2860,AT50 5914 7535 5076 3985,Aktien,81.73,17.10.2018
AT96 2315 8547 9857 4362,AT71 7270 8831 6056 9024,Neueinrichtung,163.57,25.07.2017
AT55 8940 9044 2599 2567,AT99 3877 4273 7047 3592,Warenhandel,146.03,27.09.2017
AT47 9309 4409 4792 4785,AT71 7270 8831 6056 9024,Leben,400.49,20.07.2017
AT37 2200 1453 3654 4508,AT73 0351 6823 5615 7175,Neueinrichtung,377.25,19.09.2017
AT36 6263 5656 5947 3628,AT34 1779 1973 2337 2860,,480.43,12.07.2017
AT10 0760 7731 4855 1789,AT37 4165 0290 7991 9354,Aktien,759.44,17.04.2017
AT52 4761 1464 4792 5682,AT37 4165 0290 7991 9354,Warenhandel,634.56,11.01.2018
AT09 1239 5645 2894 7413,AT47 9309 4409 4792 4785,,495.67,12.06.2018
AT73 7449 0172 9499 3958,AT47 9309 4409 4792 4785,Neueinrichtung,24.97,27.04.2017
AT95 5079 3033 2191 2643,AT80 0414 2633 0638 0714,Aktien,819.60,09.09.2017
AT67 5686 4643 8701 0396,AT57 0089 3636 6067 8915,,959.27,12.10.2017
AT89 1722 5241 3201 1443,AT34 9862 5121 9751 5569,Spende,247.58,28.05.2017
